Date,Category of Accident,Type of accident,Type of Train 1,Type of Train 2,Type of Train 3,Death,Injuries,Location of accident state,Cause & Location of accident place
28 July 2005,non-technical,Serial Blast,Express,,,13,50,Uttar Pradesh,"The 2005 Jaunpur train bombing occurred when a bomb destroyed a carriage of the Shramjeevi Express near Jaunpur, Uttar Pradesh, killing 13 and injuring 50.[93]"
3 October 2005,technical,Derailment,Express,,,16,100,Madhya Pradesh,"The Datia rail accident occurred when the Bundelkhand Express, travelling at excessive speed, overshot a sharp turn and derailed near Datia, killing 16 and injuring more than 100.[94]"
25 October 2005,technical,Derailment,Express,,,,,Karnataka,The Island Express had several coaches derail near Kamasamudram on the BangaloreJolarpettai section.[citation needed]
29 October 2005,non-technical,Tropical Cyclone derailment,Passenger,,,114,200,Andhra Pradesh,"The Valigonda train wreck occurred when the Delta Fast Passenger train derailed where a small rail bridge had been swept away by a flash flood, near the town of Valigonda, Andhra Pradesh, killing at least 114 and injuring over 200.[95]"
11 July 2006,non-technical,Serial Blast,Express,,,200,700,Maharashtra,"The 2006 Mumbai train bombings were a series of coordinated bomb attacks on commuter trains in Mumbai, killing at least 200 and injuring over 700.[96]"
20 November 2006,non-technical,Serial Blast,Express,,,7,53,West Bengal,"The 2006 West Bengal train explosion on a train near Belacoba station in West Bengal, suspected to be a terrorist bombing, resulted in seven killed and 53 injured.[97]"
1 December 2006,non-technical,Collision on an obstacle,Superfast Express,,,35,17,Bihar,"The 150-year-old 'Ulta Pul' bridge in Bihar was being dismantled when a portion collapsed onto a passing Eastern Railways train, the HowrahJamalpur Super fast express (13071 up), killing 35 and injuring 17.[98][99]"
18 February 2007,non-technical,Sabotage,Express,,,68,,Punjab,"The DelhiLahore Samjhauta Express was attacked by terrorists, causing 68 deaths.[100]"
7 August 2007,technical,Derailment,Express,,,,32,Uttar Pradesh,"32 passengers were injured when the JodhpurHowrah Express derailed near Juhi Bridge, Kanpur."
1 August 2008,non-technical,Fire,Express,,,40,,Andhra Pradesh,"The Gowthami Express caught fire while crossing Kesamudram station in Andhra Pradesh, killing 40. The fire was supposedly caused by an electrical short circuit.[101]"
13 February 2009,non-technical,Fire,Express,,,,,Odisha,Several carriages of the Coromandel Express caught fire after leaving Jajpur Road station in Orissa.[102]
29 April 2009,non-technical,Sabotage,Passenger,,,4,,Tamil Nadu,"An Electric Multiple Unit of Southern Railways collided with empty oil tanker of a goods train at Vyasarpadi Jeeva station following a hijack, killing 4.[103]"
20 October 2009,technical,Collision,Express,Express,,21,,Uttar Pradesh,"The Mathura train collision occurred when the Goa Express collided with the rear carriage of the stationary Mewar Express outside Mathura, Uttar Pradesh, killing 21 and injuring several others. An investigation determined there was a faulty signal."
2 January 2010,non-technical,Derail due to Fog or Rain,Express,Express,,,,Uttar Pradesh,"The 2010 Uttar Pradesh train accidents were a series of three accidents that took place in Uttar Pradesh due to dense fog conditions.The Lichchavi Express collided with the stationary Magadh Express in a station near Etawah, about 270 km (170 mi) southwest of Lucknow."
2 January 2010,non-technical,Derail due to Fog or Rain,Express,Express,,10,51,Uttar Pradesh,"The Gorakhdham Express and Prayagraj Express collided near Panki station in Kanpur, about 97 km (60 mi) southwest of Lucknow, killing 10 and injuring 51."
2 January 2010,non-technical,Derail due to Fog or Rain,Express,,,0,0,Uttar Pradesh,The Saryu Express hit a tractor trolley at an unmanned railway crossing in Pratapgarh. There were no injuries.
3 January 2010,technical,Derailment,Express,,,0,0,Arunachal Pradesh,Arunachal Pradesh Express derailed near Helem. No injuries were reported.[107]
16 January 2010,technical,Collision,Express,,,,,Uttar Pradesh,"KalindiShram Shakti collision, near Tundla."
17 January 2010,technical,Collision on an obstacle,Express,,,,,Uttar Pradesh,Hariharcar collision at Barha railway crossing under Haidergarh police station area in Barabanki district.
22 January 2010,technical,Derailment,Freight Train,,,,,Uttar Pradesh,Goods train derailment near Azamgarh.
25 May 2010,technical,Derailment,Express,,,0,11,Bihar,"A Rajdhani Express train derailed in Naugachia, Bihar,[108] injuring 11.[109] The train derailed as the driver applied emergency brakes after hearing a loud explosion."
28 May 2010,non-technical,Serial Blast,Express,Superfast Express,,140,200,West Bengal,"The Jnaneswari Express train derailment occurred when the HowrahLokmanya Tilak Terminus Jnaneswari Super Deluxe Express was derailed by an explosion and then struck by an oncoming freight train between Khemashuli and Sardiha stations, killing at least 140 and injuring about 200. Maoists were suspected in the attack.[110]"
4 June 2010,non-technical,Collision on an obstacle,Passenger,,,5,0,Tamil Nadu,"The CoimbatoreMettupalayam special train collided with a mini-bus at an unmanned level-crossing at Idigarai near Coimbatore, killing 5.[111]"
18 June 2010,non-technical,Collision,Express,,,0,27,Karnataka,"The 8084 (Vasco-da GamaHowrah) Amaravati Express derailed after colliding with a road-roller at an unmanned level crossing near Koppal, Karnataka, injuring 27.[112]"
19 July 2010,technical,Collision,Express,Express,,66,120,West Bengal,The Sainthia train collision occurred when the Uttar Banga Express collided with the Vananchal Express at Sainthia railway station killing 66.[113][114]
8 August 2010,technical,Collision on an obstacle,Express,,,4,0,Kerala,"Four people, including two foreigners, killed when the Chennai-Alappuzha superfast express collided with a car in an unmanned railway gate near Mararikulam on ErnakulamAlappuzha coastal line."
17 August 2010,technical,Collision,Express,,,4,,Uttar Pradesh,A crash at Goryamau railway station of Barabanki district kills four people.
1 January 2011,non-technical,Collision on an obstacle,Express,,,,,Uttar Pradesh,Akaltakthtrucks collision at Babura railway crossing in Jaunpur district.
3 January 2011,technical,Derailment,Freight Train,,,0,0,Uttar Pradesh,Goods train derailment at Dadri area of Ghaziabad district.
7 July 2011,non-technical,Collision on an obstacle,Express,,,38,30,Uttar Pradesh,"A MathuraChhapra Express hit a bus at an unmanned level crossing in Thanagaon, Kanshiram Nagar district, Uttar Pradesh, killing 38 and injuring 30.[116]"
10 July 2011,technical,Derailment,Mail,,,70,300,Uttar Pradesh,"The Fatehpur derailment occurred when the Kalka Mail derailed near Fatehpur, Uttar Pradesh, killing 70 people and injuring more than 300.[117][118]"
10 July 2011,technical,Serial Blast,Express,,,0,100,Assam,"The GuwahatiPuri Express derailed in Nalbari district, Assam, with the engine and four coaches rolling over in a rivulet, injuring more than 100. The derailment was determined to have been the result of a bomb attack by local militants.[119]"
23 July 2011,non-technical,Derailment,Freight Train,,,0,0,Assam,"A second freight train had eight cars derail at almost the same place as the previous incident, less than 24 hours earlier."
31 July 2011,technical,Collision,Express,Express,,3,300,West Bengal,"The GuwahatiBangalore Kaziranga Express derailed and was hit by another train in Malda district, West Bengal, killing at least three and injuring 200.[120]"
13 September 2011,technical,Collision,Suburban Train,Suburban Train,,10,70,Tamil Nadu,"A Chennai suburban MEMU (Mainline Electric Multiple Unit) commuter train collided with a stationary ArakonamKatpadi passenger train between Melpakkam and Chitheri stations in Vellore district, killing 10 and injuring many others.[121]"
22 November 2011,non-technical,Fire,Express,,,7,15,West Bengal,"A HowrahDehradun Doon Express caught fire in two coaches, killing seven.[122]"
23 November 2011,technical,Derailment,Passenger,,,2,20,Jammu & Kashmir (UT),A Qazigund to Baramulla passenger derailed near Sadura in Anantnag district of Jammu and Kashmir injuring 20 people
11 January 2012,technical,Collision,Mail,Freight Train,,5,9,Assam,"The Brahmaputra Mail collided with a stationary freight train, killing 5 and injuring 9.[124]"
26 February 2012,non-technical,Collision on an obstacle,Express,,,3,1,Kerala,"The TrivandrumKozhikode Jan Shatabdi Express struck people who were standing on the track to watch fireworks, killing 3 and injuring 1.[125]"
20 March 2012,non-technical,Collision on an obstacle,Express,,,15,0,Uttar Pradesh,"A train collided with an overcrowded taxi minivan at an unmanned railway crossing in northern Uttar Pradesh, 296 km (184 mi) from Lucknow, killing 15.[126]"
26 March 2012,non-technical,Collision on an obstacle,Suburban Train,,,2,,Karnataka,"A MEMU commuter train collided with a boulder-carrying truck at the Kannamangala gate on the outskirts of Bangalore, killing the pilot and driver.[127]"
22 May 2012,technical,Collision,Freight Train,Express,,25,43,Andhra Pradesh,"A cargo train and the Hubli-Bangalore Hampi Express collided in Penukonda, near Andhra Pradesh. The four bogies of the train derailed, one of them catching fire, and there were about 25 fatalities and about 43 injured.[128]"
31 May 2012,technical,Derailment,Express,,,5,15,Uttar Pradesh,"The HowrahDehradun Doon Express derailed near Jaunpur, killing at least 5 and injuring 15.[129]"
19 July 2012,technical,Collision,Express,Suburban Train,,1,4,Maharashtra,"The Vidarbha Express collided with a local train near Khardi station on the MumbaiKasara route, killing 1 and injuring 4.[citation needed]"
30 July 2012,non-technical,Fire,Express,,,47,25,Andhra Pradesh,"Tamil Nadu Express caught fire near Nellore in Andhra Pradesh, killing 47 and injuring 25.[130]"
30 Nov 2012,non-technical,Fire,Express,,,35,54,Madhya Pradesh,"Grand Trunk Express caught fire to at least two coaches near Gwalior, killing several people.[131]"
19 December 2012,non-technical,Collision on an obstacle,Express,,,4,0,Telangana,"IndoreYesvantpur Express collided with a truck near Sankhapur in Medak district, injuring many people.[citation needed][relevant?]"
26 December 2012,technical,Collision,Passenger,Freight Train,,0,71,Assam,A head on collision between 55908 Dn LedoDibrugarh Town passenger and Light Engine between Chabua and Panitola on New TinsukiaDibrugarh Town section of Tinsukia division of Northeast Frontier Railway injures 71 people.
10 April 2013,technical,Derailment,Express,,,1,1,Tamil Nadu,"The 15228 MuzaffarpurYesvantpur Weekly Express derailed several carriages near Arakkonam, 40 km (25 mi) from Chennai, killing 1 and injuring 1"
19 August 2013,non-technical,Collision on an obstacle,Express,,,35,0,Bihar,"The Dhamara Ghat train accident occurred when the 12567 SaharsaPatna Rajya Rani Superfast Express ran over passengers disembarking from another train at the Dhamara station in Bihar, killing 35"
2 November 2013,non-technical,Collision on an obstacle,Express,,,10,20,Andhra Pradesh,The 13352 AlappuzhaDhanbad Express ran over passengers of the 57271 VijayawadaRayagada passenger train who had jumped onto the adjacent track due to a rumour that their train was on fire
13 November 2013,technical,Collision,Passenger,,,10,7,West Bengal,"The 2013 Chapramari Forest train accident occurred when a passenger train struck a herd of 40 elephants in the Chapramari Wildlife Sanctuary in West Bengal, killing seven Indian elephants and injuring 10twicethespeedlimit."
15 November 2013,technical,Derailment,Express,,,3,4,Maharashtra,"The 12618 Down Nizamuddin Ernakulam Mangala Lakshadweep Superfast Express had 13 coaches derail near Ghoti village, about 30 km (19 mi) from Nashik district, killing 3 or 4 and injuring dozens"
28 December 2013,non-technical,Fire,Express,,,26,12,Andhra Pradesh,"The 16594 Bangalore CityHazur Sahib Nanded Express caught fire near Kothacheruvu in Andhra Pradesh, killing at least 26 and injuring 12"
20 March 2014,technical,Derailment,Suburban Train,,,1,9,Maharashtra,"A local train had six coaches uncouple and derail at Titwala, 61 km (38 mi) from Chhatrapati Shivaji Terminus, killing one and injuring nine.[citation needed]"
1 May 2014,non-technical,Serial Blast,Express,,,1,14,Tamil Nadu,"The 2014 Chennai train bombing occurred when two low-intensity bombs exploded on the GuwahatiBangalore Kaziranga Express at Chennai Central railway station, killing one and injuring 14.[138][139]"
4 May 2014,technical,Derailment,Passenger,,,20,100,Maharashtra,"The 50105 Diva Junction-Sawantvadi Passenger train derailed between Nagothane and Roha stations, killing about 20 and injuring 100.[140]"
26 May 2014,technical,Collision,Express,Freight Train,,25,50,Uttar Pradesh,"The 12556 Gorakhdham Express collided with a stationary freight train near Khalilabad station in Uttar Pradesh, killing at least 25 and injuring over 50.[141]"
25 June 2014,technical,Derailment,Express,,,4,8,Bihar,"The 12236 Dibrugarh Rajdhani Express derailed near Chapra town, Bihar, killing four and injuring eight.[142]"
23 July 2014,non-technical,Collision on an obstacle,Passenger,,,20,,Telangana,"Medak district bus-train collision; a Nanded-Secunderabad passenger train collided with a school bus at an unmanned level-crossing in Masaipet village of Medak district, killing 20."
13 February 2015,technical,Derailment,Express,,,12,100,Karnataka,"The Anekal derailment occurred when the 12677 Bangalore City–Ernakulam Intercity Express derailed nine coaches near Anekal in the Bangalore Urban district, killing 12 and injuring 100."
20 March 2015,technical,Derailment,Express,,,58,150,Uttar Pradesh,"The 2015 Uttar Pradesh train accident occurred when the Dehradun–Varanasi Janta Express derailed in Rae Bareli, Uttar Pradesh, killing 58 and injuring 150."
25 May 2015,technical,Derailment,Express,,,5,50,Uttar Pradesh,"The Muri Express derailed in Uttar Pradesh, killing 5 and injuring more than 50."
4 August 2015,non-technical,Tropical Cyclone derailment,Express,Express,,31,100,Madhya Pradesh,"The Harda twin train derailment occurred when the Kamayani Express and Janata Express derailed between Kurawan and Bhiringi stations in Madhya Pradesh, killing at least 31 people and injuring 100. Flash floods caused by Cyclonic Storm Komen dislodged a culvert causing a track misalignment, and several carriages of the 11071 Kamayani Express fell into the Machak river."
4 September 2015,technical,Derailment,Express,,,0,39,Tamil Nadu,"5 coaches including 3 AC coaches and an Unreserved coach along with SLR of 16859 DOWN Chennai Egmore – Mangalore Central Express derailed near Puvanur railway station, Villupuram – Vridhachalam section of Chord line. 39 passengers were reported injured."
12 September 2015,technical,Derailment,Express,,,2,7,Karnataka,"Nine coaches of the 12220 Secunderabad Junction–Lokmanya Tilak Terminus Duronto Express at Martur station, around 20 km (12 mi) from Kalaburagi town, Karnataka, killing 2 and injuring 7."
12 September 2015,technical,Derailment,Express,,,2,3,Himachal Pradesh,"A chartered Kalka–Shimla Shivalik Queen narrow-gauge railway derailed 3 coaches near Taksal, killing 2 and injuring 13. The train was boarded by a party of 36 customers and a tour operator, all from Britain.[150] The Kalka-Shimla Railway is a part of the Mountain railways of India which has been enlisted as a UNESCO World Heritage Site since 2008."
5 February 2016,technical,Derailment,Express,,,0,35,Tamil Nadu,Four coaches of the Kanyakumari-Bengaluru Island Express derailed near Patchur station. A few people were injured.
6 May 2016,technical,Derailment,Express,,,0,7,Tamil Nadu,"Chennai Central–Thiruvananthapuram Central Superfast Express and a suburban train had a side collision near Pattabiram, injuring 7."
27 August 2016,technical,Derailment,Express,,,0,0,Kerala,Twelve coaches of the Thiruvananthapuram-Mangaluru Express derailed near Karukutty station on the Ernakulam – Thrissur section in Kerala. No casualties reported.
29 September 2016,technical,Collision,Passenger,Freight Train,,1,22,Odisha,"A collision between Bhubaneswar-Bhadrak passenger train and a goods train at Cuttack, Odisha. One person was killed and 22 injured."
20 November 2016,technical,Collision,Express,,,152,260,Uttar Pradesh,"The Pukhrayan train derailment occurred when the 19321 Indore–Rajendra Nagar Express derailed 14 coaches at Pukhrayan, approximately 60 km (37 mi) from Kanpur, killing 152 and injuring 260."
6 December 2016,technical,Derailment,Express,,,2,6,West Bengal,"Rajendra Nagar-Guwahati Capital Express derailed at Samuktala Road station in Alipurduar district, West Bengal killing 2 people and injuring 6."
28 December 2016,technical,Derailment,Passenger,,,0,0,Maharashtra,Five coaches of Kurla-Ambarnath local train derailed in Mumbai. No injuries reported.
28 December 2016,technical,Derailment,Express,,,0,44,Uttar Pradesh,"Fifteen coaches of the Ajmer-Sealdah Express derailed near Rura station while crossing a bridge, injuring 44."
21 January 2017,technical,Derailment,Express,,,41,69,Andhra Pradesh,"The Kuneru train derailment occurred when the 18448 Jagdalpur–Bhubaneswar Hirakhand Express derailed near Kuneru, Vizianagaram, killing 41 and injuring 69."
7 March 2017,non-technical,Serial Blast,Passenger,,,5,10,Madhya Pradesh,"The 2017 Bhopal–Ujjain Passenger train bombing occurred when a bomb exploded on the Bhopal–Ujjain Passenger at Jabri railway station, injuring 10. This was the first strike in India by the Islamic State."
30 March 2017,technical,Derailment,Express,,,0,52,Uttar Pradesh,"Eight coaches of Mahakaushal Express derailed near Uttar Pradesh's Kulpahar, injuring 52."
15 April 2017,technical,Derailment,Express,,,0,24,Uttar Pradesh,Eight coaches of the Meerut–Lucknow Rajya Rani Express derailed near Rampur; injuring at least 24.
19 August 2017,technical,Derailment,Express,,,23,97,Uttar Pradesh,"The 18478 Puri–Haridwar Kalinga Utkal Express derailed in Khatauli near Muzaffarnagar, Uttar Pradesh. Killing at least 23 and leaving around 97 injured."
23 August 2017,technical,Derailment,Express,,,0,100,Uttar Pradesh,The Auraiya train derailment occurred when the Kaifiyat Express derailed between Pata and Achalda railway stations around 2:40 a.m. (IST). Around 100 people were injured.
24 November 2017,technical,Derailment,Express,,,3,9,Uttar Pradesh,"Vasco Da Gama-Patna Express derailment occurred in Chitrakoot, Uttar Pradesh killing three people and leaving around nine injured."
24 November 2017,technical,Derailment,Freight Train,,,0,0,Odisha,Wagons of the Paradeep-Cuttack goods train loaded with imported coal derailed between Goraknath-Raghunathpur. No one was injured.
25 April 2018,technical,Derailment,Express,,,0,0,Tamil Nadu,"Front wheels of WDP4D numbered 40405 which hauled 12606 UP Karaikkudi – Chennai Pallavan Superfast Express derailed while entering Tiruchchirappalli Junction railway station at 6:27 a.m. It was reported due to rail fracture, no injures and casualties reported. Then train was moved further with the delay of three hours towards Chennai."
6 May 2018,non-technical,Fire,Mail,,,1,0,Maharashtra,The WAP 4 locomotive of train 12810 Howrah-Mumbai Mail caught fire and resulted in death of assistant locomotive pilot and injury to locomotive pilot between Talni and Dhamangaon on Wardha – Badnera section. The enquiry stated that the fire was due to a defect in the locomotive.
24 July 2018,non-technical,Collision on an obstacle,Suburban Train,,,4,4,Tamil Nadu,"Five killed, four injured in accident at St Thomas Mount station on Chennai Beach – Tambaram section. The victims were passengers on a Chennai Beach-Tirumalpur local (No 40701) who were hanging out from the doors when they were struck by a wall. This was unexpected because the train normally stopped at another platform but was diverted to this platform."
10 October 2018,technical,Collision,Express,,,7,0,Uttar Pradesh,"New Farakka Express accident: Seven Killed as Engine, nine Coaches Derail in UP's Raebareli"
19 October 2018,non-technical,Collision on an obstacle,Express,,,59,100,Punjab,Amritsar train disaster: About 59 people were killed and about 100 injured when a train ran into a crowd of spectators who were standing on the tracks watching the Dusshera festival in Amritsar.
3 February 2019,technical,Derailment,Express,,,,,Bihar,"Seemanchal Express derailment: Eleven coaches derailed near Sahadai Buzurg railway station, about 50 km from Patna."
31 March 2019,technical,Derailment,Express,,,,,Bihar,Thirteen coaches of Tapti Ganga Express derailed near Gautamsthan railway station.
20 April 2019,technical,Derailment,Express,,,0,15,Uttar Pradesh,Twelve coaches of Poorva Express derailed in the outskirt of Kanpur Central near Rooma. Fifteen people were injured.
29 August 2019,non-technical,Fire,Express,,,0,20,Telangana,Fire broke out in two coaches of Telangana Express at Asaoti railway station in Haryana.
11 November 2019,technical,Collision,Express,,,3,16,Telangana,Sixteen passengers were injured and motorman killed when Lingampalli bound MMTS rammed into incoming Hundry Express at Kacheguda station. Hundry express had been given signal to enter the station when the outbound MMTS rammed into the train at the points.
8 May 2020,non-technical,Collision on an obstacle,Freight Train,,,16,0,Maharashtra,Aurangabad railway accident: Sixteen migrant workers sleeping on rail tracks were killed when a goods train ran them over between Jalna and Aurangabad districts.
22 July 2020,non-technical,Collision on an obstacle,Freight Train,,,3,0,Telangana,Three railway employees from Hyderabad died after a double engine train ran them over. The incident took place between Vikarabad and Chittigadda railway station. The incident raised concerns about the safety of the railway employees.
13 January 2022,technical,Derailment,Express,,,9,0,West Bengal,"Coaches of the Bikaner–Guwahati Express derailed near New Domohani railway station in Mainaguri, Jalpaiguri at around 4:50 p.m. on 13 January 2022, causing nine deaths."
3 April 2022,technical,Derailment,Express,,,0,2,Maharashtra,Pawan Express derails near Nashik on 3 April 2022 causing two injuries.
25 March 2022,non-technical,Collision on an obstacle,Express,,,2,0,Gujarat,Two trackmen were fatally hit by the 22209 Mumbai–New Delhi Duronto Express while inspecting track work between Navsari and Maroil Railway Stations; they failed to notice the approaching train and at the same time the locomotive pilot didn't have clear enough visibility due to heavy fog.
2 January 2023,technical,Derailment,Express,,,0,10,Rajasthan,11 coaches of the Suryanagri Express derailed five minutes after it left Marwar Junction railway station at 3:27 a.m.. Ten people were injured.
3 April 2023,non-technical,Fire,Express,,,0,10,Kerala,"Eight passengers suffered burns after a man set fellow passengers on fire on board an express train in Elathur, Kozhikode, Kerala, which was bound for Kannur.[187] Later, three people, including a two-year-old girl, were found dead on a railway track."
15 May 2023,technical,Derailment,Express,,,0,0,Karnataka,One coach of the Chennai-Bangalore Double Decker Express heading towards Bengaluru derailed near Bisanattam station at around 11:30 a.m. No injuries or casualties were reported.
2 June 2023,technical,Collision,Express,Freight Train,Express,296,1200,Odisha,"2023 Odisha train collision: Train 12841 Coromandel Express running at 128 km/h (80 mph) collides with a freight train (goods train) loaded with iron ore in Odisha's Balasore district. The accident happened around 19:30 IST near Bahanaga Bazar station when the train was on the way to MGR Chennai Central from Shalimar railway station near Kolkata. More than 20 coaches were derailed. 12864 SMVT Bengaluru–Howrah SF Express travelling towards Howrah passed in the opposite line just seconds before at 130 km/h (81 mph). However, the derailed coaches of the Coromandel Express smashed into the last few coaches of the SMVT Bengaluru-Howrah SF Express before it could completely pass through that section. A total of three trains were involved. More than 1,200 were injured and 296 people died."
8 June 2023,technical,Derailment,Suburban Train,,,0,0,Tamil Nadu,The last coach of the 4-coach Nilgiri Mountain Railway heading from Ooty to Mettupalayam derailed near Coonoor station at around 3 p.m. No injuries or casualties reported.
9 June 2023,technical,Derailment,Express,,,0,0,Tamil Nadu,A coach of the Vijayawada-Chennai Central Jan Shatabdi Express heading from Chennai Central back to shed derailed near Basin Bridge station at around 2:30 a.m. No injuries or casualties reported.
11 June 2023,technical,Derailment,Suburban Train,,,0,0,Tamil Nadu,The last coach of a Chennai suburban local train from Chennai Central towards Thiruvallur derailed near Basin Bridge station in the morning. No injuries or casualties reported.
22 June 2023,non-technical,Fire,Express,,,0,0,Tamil Nadu,A coach of Lokmanya Tilak Express from Chennai to Mumbai caught fire near Vyasarpadi station due to a friction in a high-voltage power line. No injuries or casualties reported.
25 June 2023,technical,Collision,Freight Train,Freight Train,,0,0,West Bengal,A downward goods train collided at the back of another goods train at Ondagram railway station of Bankura district in West Bengal at around 4:00 AM (IST). The LP and ALP are both accused for breaking Signal.
7 July 2023,non-technical,Fire,Express,,,0,0,Telangana,Three coaches in Howrah-bound Falaknuma Express caught fire between Bommaipally and Pagidipalli in Yadadri Bhuvanagiri district of Telangana. No casualties or injuries were reported.
23 August 2023,non-technical,Collision on an obstacle,Individual,,,26,0,Mizoram,"An under construction railway bridge over Kurung river on the Bairabi-Sairang line, in the mountainous area near Sairang around 21 kilometres from Aizawl in Mizoram, collapsed into the river killing at least 26 workers.[196] All those killed were migrant workers hailing from Malda district of West Bengal.[197] Though a four-member investigation committee was formed, the findings are yet to be finalised."
26 August 2023,non-technical,Fire,Special Train,,,9,20,Tamil Nadu,"Around 5:15 a.m. (IST) fire erupted in Lucknow-Rameshwaram Bharat Gaurav train which was stationed near Madurai Junction; nine killed, 20 injured. Preliminary investigation revealed that the passengers smuggled a gas cylinder aboard the train and were cooking in the coach when the fire broke out."
11 October 2023,technical,Derailment,Express,,,4,70,Bihar,On the night of 11 October 2023 at around 9:50 p.m. (local time) 6 coaches of 12506 Anand Vihar Terminal-Kamakhya Junction North East Express derailed near Raghunathpur Railway Station in Buxar district of Bihar killing four and injuring more than 70.
29 October 2023,technical,Derailment,Passenger,Passenger,,14,50,Andhra Pradesh,"On the evening of 29 October 2023 at around 9:02 p.m. (local time) a moving 08504 Visakhapatnam-Rayagada passenger train derailed after colliding with the 08532 Visakhapatnam-Palasa passenger train near Kottavalasa Junction railway station in Vizianagaram district, Andhra Pradesh killing at least 14 and injuring 50."
31 October 2023,technical,Derailment,Express,,,0,0,Uttar Pradesh,"the Suheldev Superfast Express, on the route from Ghazipur City to Anand Vihar in Delhi, suffered a derailment incident in the outer region of Prayagraj, Uttar Pradesh. No casualties or injuries were reported"
15 November 2023,non-technical,Fire,Superfast Express,,,0,0,Uttar Pradesh,A fire broke out in Delhi-Darbhanga Superfast Express near Etawah in Uttar Pradesh.
28 February 2024,non-technical,Collision on an obstacle,Express,,,2,15,Jharkhand,At least two people were crushed to death while many more were injured after being hit by a train near Kalajhariya in Jharkhand's Jamtara-Karmatand.
17 June 2024,technical,Collision,Freight Train,Express,,10,60,West Bengal,"2024 West Bengal train collision: An overspeeding freight train hit the rear of the Kanchanjunga Express (13174) near Rangapani railway station in Darjeeling district, approximately 10 km (6.2 mi) away from New Jalpaiguri railway station in West Bengal. Ten people reported dead and at least 60 injured.[208][209] Since the rear guard van and two parcel vans absorbed most of the impact of the accident, only one passenger coach was derailed, which resulted in less casualties."
18 July 2024,technical,Derailment,Express,,,4,32,Uttar Pradesh,2024 Uttar Pradesh train derailment: 12 coaches of 15904 Dibrugarh–Chandigarh Express train derailed near Jhilahi in Gonda district of Uttar Pradesh resulting in at least four dead and 32 injured.
30 July 2024,technical,Derailment,Mail,,,2,20,Jharkhand,18 coaches of 12810 Howrah–Mumbai CSMT Mail (via Nagpur) train derailed near Jamshedpur in Jharkhand resulting in injuries for at least 20 people and 2 deaths.
17 August 2024,technical,Derailment due to obstacle,Express,,,0,0,Uttar Pradesh,22 coaches of 19168 Sabarmati Express derailed near Kanpur in Uttar Pradesh after the engine hit a boulder